Date,NEIXCTAT 
2012-04-09,2282.597
2012-04-10,2275.104
2012-04-11,2269.055
2012-04-12,2287.883
2012-04-13,2300.222
2012-04-16,2279.66
2012-04-17,2289.51
2012-04-18,2291.515
2012-04-19,2288.955
2012-04-20,2285.984
2012-04-23,2288.381
2012-04-24,2280.756
2012-04-25,2295.987
2012-04-26,2318.382
2012-04-27,2320.906
2012-04-30,2319.329
2012-05-01,2318.16
2012-05-02,2330.058
2012-05-03,2312.881
2012-05-04,2295.735
2012-05-07,2291.595
2012-05-08,2291.021
2012-05-09,2291.915
2012-05-10,2290.944
2012-05-11,2293.709
2012-05-14,2302.889
2012-05-15,2302.815
2012-05-16,2294.547
2012-05-17,2282.494
2012-05-18,2269.428
2012-05-21,2273.727
2012-05-22,2271.046
2012-05-23,2316.297
2012-05-24,2314.967
2012-05-25,2314.678
2012-05-28,2314.547
2012-05-29,2325.739
2012-05-30,2373.122
2012-05-31,2387.801
2012-06-01,2405.427
2012-06-04,2391.107
2012-06-05,2382.853
2012-06-06,2345.163
2012-06-07,2319.721
2012-06-08,2350.421
2012-06-11,2345.31
2012-06-12,2332.269
2012-06-13,2314.506
2012-06-14,2315.328
2012-06-15,2325.961
2012-06-18,2329.069
2012-06-19,2301.839
2012-06-20,2294.273
2012-06-21,2327.76
2012-06-22,2324.134
2012-06-25,2339.197
2012-06-26,2333.501
2012-06-27,2329.89
2012-06-28,2347.795
2012-06-29,2274.535
2012-07-02,2300.036
2012-07-03,2274.423
2012-07-04,2282.554
2012-07-05,2323.282
2012-07-06,2351.519
2012-07-09,2354.849
2012-07-10,2365.918
2012-07-11,2364.901
2012-07-12,2383.425
2012-07-13,2376.131
2012-07-16,2387.415
2012-07-17,2384.649
2012-07-18,2405.824
2012-07-19,2397.008
2012-07-20,2423.653
2012-07-23,2422.86
2012-07-24,2415.305
2012-07-25,2414.538
2012-07-26,2394.733
2012-07-27,2369.475
2012-07-30,2389.544
2012-07-31,2392.285
2012-08-01,2380.743
2012-08-02,2397.413
2012-08-03,2374.885
2012-08-06,2372.109
2012-08-07,2341.227
2012-08-08,2347.218
2012-08-09,2356.37
2012-08-10,2374.259
2012-08-13,2358.164
2012-08-14,2342.585
2012-08-15,2337.014
2012-08-16,2329.306
2012-08-17,2333.589
2012-08-20,2336.676
2012-08-21,2327.884
2012-08-22,2332.276
2012-08-23,2324.728
2012-08-24,2331.887
2012-08-27,2331.455
2012-08-28,2327.874
2012-08-29,2327.589
2012-08-30,2328.241
2012-08-31,2344.402
2012-09-03,2341.37
2012-09-04,2328.229
2012-09-05,2315.76
2012-09-06,2327.485
2012-09-07,2335.748
2012-09-10,2316.929
2012-09-11,2319.306
2012-09-12,2302.844
2012-09-13,2331.803
2012-09-14,2318.776
2012-09-17,2286.389
2012-09-18,2285.623
2012-09-19,2292.289
2012-09-20,2296.758
2012-09-21,2301.937
2012-09-24,2293.399
2012-09-25,2287.204
2012-09-26,2274.515
2012-09-27,2297.389
2012-09-28,2295.831
2012-10-01,2295.627
2012-10-02,2286.605
2012-10-03,2282.367
2012-10-04,2294.93
2012-10-05,2278.955
2012-10-08,2274.771
2012-10-09,2260.778
2012-10-10,2252.259
2012-10-11,2269.882
2012-10-12,2257.643
2012-10-15,2254.806
2012-10-16,2244.498
2012-10-17,2232.639
2012-10-18,2219.278
2012-10-19,2192.862
2012-10-22,2183.543
2012-10-23,2165.829
2012-10-24,2168.211
2012-10-25,2164.9
2012-10-26,2170.653
2012-10-29,2175.295
2012-10-30,2177.014
2012-10-31,2184.299
2012-11-01,2195.901
2012-11-02,2182.764
